InvoiceDate,CustomerID,OrderTotal
2010-12-01,17850,139.12
2010-12-01,17850,22.2
2010-12-01,13047,278.73
2010-12-01,13047,70.05
2010-12-01,13047,17.85
2010-12-01,12583,855.86
2010-12-01,13748,204
2010-12-01,17850,22.2
2010-12-01,17850,259.86
2010-12-01,15100,350.4
2010-12-01,17850,259.86
2010-12-01,15291,328.8
2010-12-01,17850,22.2
2010-12-01,14688,444.98
2010-12-01,17809,34.8
2010-12-01,15311,449.98
2010-12-01,16098,430.6
2010-12-01,18074,489.6
2010-12-01,17420,130.85
2010-12-01,16029,508.2
2010-12-01,16029,3193.92
2010-12-01,16250,226.14
2010-12-01,12431,358.25
2010-12-01,17511,1825.74
2010-12-01,13705,318.14
2010-12-01,13747,79.6
2010-12-01,13408,1024.68
2010-12-01,13767,507.88
2010-12-01,17850,376.36
2010-12-01,17924,279.0
2010-12-01,13448,426.56
2010-12-01,17850,22.2
2010-12-01,13448,17.4
2010-12-01,15862,354.23
2010-12-01,15513,357
2010-12-01,12791,192.6
2010-12-01,16218,471.3
2010-12-01,14045,326.4
2010-12-01,17850,353.14
2010-12-01,17850,22.2
2010-12-01,14307,783.11
2010-12-01,17908,243.28
2010-12-01,17920,514.41
2010-12-01,12838,390.79
2010-12-01,13255,225.7
2010-12-01,16583,233.45
2010-12-01,18085,303.9
2010-12-01,13758,362.45
2010-12-01,13694,842.12
2010-12-01,15983,440.89
2010-12-01,14849,295.54
2010-12-01,14849,17.4
2010-12-01,17968,277.35
2010-12-01,14849,42.9
2010-12-01,16210,2474.74
2010-12-01,17897,165.89
2010-12-01,17377,223.9
2010-12-01,16552,95.29
2010-12-01,17181,155.52
2010-12-01,17951,295.5
2010-12-01,14729,313.49
2010-12-01,12748,4.95
2010-12-01,15012,191.06
2010-12-01,12868,203.3
2010-12-01,17572,70.8
2010-12-01,14078,136.24
2010-12-01,14001,301.24
2010-12-01,12662,261.48
2010-12-01,15525,313.93
2010-12-01,14237,161.0
2010-12-01,17905,201.75
2010-12-01,15485,950.09
2010-12-01,12433,1919.14
2010-12-01,16955,156.1
2010-12-01,15350,115.65
2010-12-01,15605,194.85
2010-12-01,18144,165.05
2010-12-01,15922,369.5
2010-12-01,14594,255.0
2010-12-01,15165,487.75
2010-12-01,14911,540.38
2010-12-01,14911,15
2010-12-01,16456,787.4
2010-12-01,17346,146.61
2010-12-01,17643,101.55
2010-12-01,17841,537.38
2010-12-01,17873,215.15
2010-12-01,13093,799.4
2010-12-01,12921,322.4
2010-12-01,13468,308.65
2010-12-01,17760,172.54
2010-12-01,13468,51.4
2010-12-01,16928,116.25
2010-12-01,16048,251.4
2010-12-01,16048,5.04
2010-12-01,16274,357.95
2010-12-01,14496,304.34
2010-12-01,14696,294.62
2010-12-01,16539,442.35
2010-12-01,17025,143.12
2010-12-01,17025,17.85
