StockCode,Description,Country,YearMonth,TotalSales,TotalQty
79067,CORONA MEXICAN TRAY,Australia,2010-12,147.5,50
48138,DOORMAT UNION FLAG,Australia,2010-12,135.0,20
22926,IVORY GIANT GARDEN THERMOMETER,Australia,2010-12,71.4,12
22195,LARGE HEART MEASURING SPOONS,Australia,2010-12,59.4,36
22941,CHRISTMAS LIGHTS 10 REINDEER,Australia,2010-12,51,6
22915,ASSORTED BOTTLE TOP  MAGNETS,Australia,2010-12,43.2,120
22196,SMALL HEART MEASURING SPOONS,Australia,2010-12,40.8,48
21622,VINTAGE UNION JACK CUSHION COVER,Australia,2010-12,39.6,8
85014B,RED RETROSPOT UMBRELLA,Australia,2010-12,35.7,6
35004C,SET OF 3 COLOURED  FLYING DUCKS,Australia,2010-12,32.7,6
20685,DOORMAT RED RETROSPOT,Australia,2010-12,31.8,4
22567,20 DOLLY PEGS RETROSPOT,Australia,2010-12,30,24
22953,BIRTHDAY PARTY CORDON BARRIER TAPE,Australia,2010-12,30,24
21906,PHARMACIE FIRST AID TIN,Australia,2010-12,27,4
35004G,SET OF 3 GOLD FLYING DUCKS,Australia,2010-12,25.4,4
22555,PLASTERS IN TIN STRONGMAN,Australia,2010-12,19.8,12
22557,PLASTERS IN TIN VINTAGE PAISLEY,Australia,2010-12,19.8,12
85099B,JUMBO BAG RED RETROSPOT,Australia,2010-12,19.5,10
85014A,BLACK/BLUE POLKADOT UMBRELLA,Australia,2010-12,17.85,3
22495,SET OF 2 ROUND TINS CAMEMBERT,Australia,2010-12,17.7,6
22191,IVORY DINER WALL CLOCK,Australia,2010-12,17,2
22192,BLUE DINER WALL CLOCK,Australia,2010-12,17,2
22193,RED DINER WALL CLOCK,Australia,2010-12,17,2
20725,LUNCH BAG RED RETROSPOT,Australia,2010-12,16.5,10
21791,VINTAGE HEADS AND TAILS CARD GAME,Australia,2010-12,15,12
22726,ALARM CLOCK BAKELIKE GREEN,Australia,2010-12,15,4
22727,ALARM CLOCK BAKELIKE RED,Australia,2010-12,15,4
22728,ALARM CLOCK BAKELIKE PINK,Australia,2010-12,15,4
22219,LOVEBIRD HANGING DECORATION WHITE,Australia,2010-12,10.2,12
22720,SET OF 3 CAKE TINS PANTRY DESIGN,Australia,2011-01,1034.85,243
22722,SET OF 6 SPICE TINS PANTRY DESIGN,Australia,2011-01,627.0,180
22492,MINI PAINT SET VINTAGE,Australia,2011-01,316.8,576
22619,SET OF 6 SOLDIER SKITTLES,Australia,2011-01,301.2,88
21915,RED  HARMONICA IN BOX,Australia,2011-01,269.4,252
21914,BLUE HARMONICA IN BOX,Australia,2011-01,254.4,240
22078,RIBBON REEL LACE DESIGN,Australia,2011-01,222,120
22077,6 RIBBONS RUSTIC CHARM,Australia,2011-01,208.8,144
22354,RETROSPOT PADDED SEAT CUSHION,Australia,2011-01,203.4,60
22379,RECYCLING BAG RETROSPOT,Australia,2011-01,195.5,105
22079,RIBBON REEL HEARTS DESIGN,Australia,2011-01,174,120
22080,RIBBON REEL POLKADOTS,Australia,2011-01,174,120
22620,4 TRADITIONAL SPINNING TOPS,Australia,2011-01,169.6,160
21242,RED RETROSPOT PLATE,Australia,2011-01,152.72,104
21243,PINK  POLKADOT PLATE,Australia,2011-01,152.72,104
21244,BLUE POLKADOT PLATE,Australia,2011-01,152.72,104
21891,TRADITIONAL WOODEN SKIPPING ROPE,Australia,2011-01,152.64,144
22451,SILK PURSE BABUSHKA RED,Australia,2011-01,141.6,48
22522,CHILDS GARDEN FORK BLUE,Australia,2011-01,138.24,192
20685,DOORMAT RED RETROSPOT,Australia,2011-01,135,20
